Date,Day,DailyCase,TotalCase
04-May,43,3656,46434
05-May,44,2971,49405
06-May,45,3602,53007
07-May,46,3344,56351
08-May,47,3339,59690
09-May,48,3175,62865
10-May,49,4311,67176
11-May,50,3592,70768
12-May,51,3562,74330
13-May,52,3726,78056
14-May,53,3991,82047
15-May,54,3808,85855
16-May,55,4794,90649
17-May,56,5049,95698
18-May,57,4628,100326
19-May,58,6154,106480
20-May,59,5720,112200
21-May,60,6023,118223
22-May,61,6536,124759
23-May,62,6667,131424
24-May,63,7111,138537
25-May,64,6414,144951
26-May,65,5907,150858
27-May,66,7246,158104
28-May,67,7254,165358
29-May,68,8138,173496
30-May,69,8364,181860
31-May,70,8789,190649
01-Jun,71,7723,198372
02-Jun,72,8812,207187
03-Jun,73,9689,216876
04-Jun,74,9847,226723
05-Jun,75,9472,236195
06-Jun,76,10408,246603
07-Jun,77,10882,257485
08-Jun,78,8536,266021
09-Jun,79,9981,276002
10-Jun,80,11156,287158
11-Jun,81,11135,298293
12-Jun,82,11306,309599
13-Jun,83,12039,321638
14-Jun,84,11405,333043
15-Jun,85,10032,343075
16-Jun,86,11086,354161
17-Jun,87,13108,367269
18-Jun,88,13829,381098
19-Jun,89,14740,395838
20-Jun,90,15918,411753
21-Jun,91,15151,426904
22-Jun,92,13560,440464
23-Jun,93,15656,456120
24-Jun,94,16868,472988
25-Jun,95,18205,491193
26-Jun,96,18255,509448
27-Jun,97,20142,529590
28-Jun,98,19610,549200
29-Jun,99,18339,567539
30-Jun,100,18256,585795
01-Jul,101,19429,605224
02-Jul,102,21947,627171
03-Jul,103,22718,649889
04-Jul,104,24018,673907
05-Jul,105,23942,697849
06-Jul,106,22500,720349
07-Jul,107,23147,743496
08-Jul,108,25561,769057
09-Jul,109,25790,794847
10-Jul,110,27762,822609
11-Jul,111,27757,850366
12-Jul,112,29106,879472
13-Jul,113,28178,907650
14-Jul,114,29917,937567
15-Jul,115,32607,970174
16-Jul,116,35468,1005642
17-Jul,117,34820,1040462
18-Jul,118,37411,1077873
19-Jul,119,40235,1118108
20-Jul,120,36806,1154914
21-Jul,121,39170,1194084
22-Jul,122,45601,1239685
23-Jul,123,48443,1288128
24-Jul,124,48888,1337016
25-Jul,125,50072,1387088
26-Jul,126,48932,1436020
27-Jul,127,46484,1482504
28-Jul,128,49631,1532135
29-Jul,129,52479,1584614
30-Jul,130,54968,1639582
31-Jul,131,57486,1697068
01-Aug,132,55117,1752185
02-Aug,133,52672,1804857
03-Aug,134,50488,1855345
04-Aug,135,51282,1906627
05-Aug,136,56626,1963253
06-Aug,137,62170,2025423
07-Aug,138,61455,2086878
08-Aug,139,65156,2152034
09-Aug,140,62117,2214151
10-Aug,141,53016,2267167
11-Aug,142,61252,2328419
12-Aug,143,67066,2395485
13-Aug,144,54636.18436,2450121.184
14-Aug,145,55250.73447,2505371.919
15-Aug,146,55865.28458,2561237.203
16-Aug,147,56479.83469,2617717.038
17-Aug,148,57094.3848,2674811.423
18-Aug,149,57708.93491,2732520.358
19-Aug,150,58323.48502,2790843.843
20-Aug,151,58938.03513,2849781.878
21-Aug,152,59552.58524,2909334.463
22-Aug,153,60167.13535,2969501.599
23-Aug,154,60781.68546,3030283.284
24-Aug,155,61396.23557,3091679.52
25-Aug,156,62010.78568,3153690.305
26-Aug,157,62625.33579,3216315.641
27-Aug,158,63239.88591,3279555.527
28-Aug,159,63854.43602,3343409.963
29-Aug,160,64468.98613,3407878.949
30-Aug,161,65083.53624,3472962.485
31-Aug,162,65698.08635,3538660.572
01-Sep,163,66312.63646,3604973.208
